YawRate  deg/s,RR_Iq  A,RR_Id  A,RR_Vq  V,RR_Vd  V,AccelZ  g,AccelY  g,AccelX  g,YawAngle  rad,RollAngle  rad,PitchAngle  rad,WaterPump_DC  %,RRMotorTorqueReq  Nm,RLMotorTorqueReq  Nm,FLMotorTorqueReq  Nm,FRMotorTorqueReq  Nm,RRMotorPower  kW,RLMotorPower  kW,FRMotorPower  kW,FLMotorPower  kW,RRWheelTorqueReq  Nm,RLWheelTorqueReq  Nm,FRWheelTorqueReq  Nm,FLWheelTorqueReq  Nm,Pedal_Req  Nm,RRInverterTemp  C,RRMotorTemp  C,RLMotorSpeed  rpm,RLInverterTemp  C,RLMotorTemp  C,RRMotorSpeed  rpm,VehicleSpeed  mph,APPS_Arb  %,GPS_Speed  mph,R_BrakePress  kPa,F_BrakePress  kPa,Brake_Flag  boolean,RRNormalForce  N,RLNormalForce  N,FRNormalForce  N,FLNormalForce  N,MinCellTemp  C,MaxCellTemp  C,AvgCellTemp  C,PackSOC  %,LVBattery  V,Heading  deg ,AccumulatorCurrentLimit  A,PackVoltage  V,AccumulatorCurrentDraw  A
1.125,-1.6585833333333337,3.120166666666667,0.0,0.0,9.758055832502492,-0.04,0.23097208374875375,-0.04680823960099767,1796.7389922,14.67441169137157,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-3.0,25.0,19.0,55.5,0.0,0.0,197.0,293.77,-0.30000000000000004
-1.75,-1.7125423728813545,3.4088135593220317,0.0,0.0,9.740913654618474,-0.03954317269076307,0.20137048192771081,0.2291832,1796.7389922,14.7250206,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-3.0,25.0,19.0,55.5,0.0,0.0,198.0,293.77,-0.2609614956599155
-0.625,-1.477541528239202,3.54405315614618,0.0,0.0,9.730944803580309,-0.03,0.22905519641969171,0.02642669105367776,1796.6816964,14.775709727236581,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-3.0,25.0,19.0,55.5,0.0,0.0,198.0,293.77,-0.20839083018028048
0.684940059940059,-2.04,3.74,0.0,0.0,9.749295774647887,-0.03,0.22140845070422532,-0.286479,1796.629617169316,14.8396122,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-3.0,25.0,19.0,55.5,0.0,0.0,198.0,293.77,-0.15463610060093483
1.2399213372664653,-1.5529901589704769,2.8249507948523838,0.0,0.0,9.733094170403588,-0.04793721973094169,0.23896860986547083,-0.3518599983398436,1796.6244006,14.896908,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-3.0,25.0,19.0,55.5,0.0,0.0,198.0,293.77,-0.10169152014244384
-0.07467369477911823,-1.9258375634517755,3.4022504230118433,0.0,0.0,9.730810542018897,-0.04,0.2308105420188961,-0.1718874,1796.5671048,14.896908,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,199.0,293.77,-0.1
-1.2244744744744738,-1.7712978369384362,3.6180366056572373,0.0,0.0,9.742530894710825,-0.0425308947108255,0.23,-0.2132050974281391,1796.5671048,14.9542038,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,199.0,293.77,-0.1
1.75,-1.579344262295076,2.837114754098349,0.0,0.0,9.746010075566751,-0.03,0.2360100755667507,-0.3437748,1796.5224227353149,14.998885864685139,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,199.0,293.77,-0.1
-1.1086146971201507,-1.685513280689159,3.380674802584347,0.0,0.0,9.75685515873016,-0.031572420634920585,0.2231448412698412,-0.30687482766484864,1796.5098090000001,15.0114996,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,200.0,293.77,-0.1
0.625,-1.631611208406305,3.091611208406305,0.0,0.0,9.762517552657973,-0.037482447342026076,0.24244734202607823,-0.0572958,1796.4525132,15.0687954,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,200.0,293.77,-0.1
